Algorithm,Cost,Time
Dynamic,5059.0,0.002001524
Static,4726.0,0.002438068
Algorithm,1969.0,0.002000332
Knapsack,5082.0,0.001129866
Recursive Knapsack,5082.0,0.047534466
Dynamic,5073.0,0.00099659
Static,3100.0,0.001999617
Algorithm,1363.0,0.002176046
Knapsack,4751.0,0.001001596
Recursive Knapsack,4751.0,0.032928705
Dynamic,4417.0,0.001011133
Static,5170.0,0.002092123
Algorithm,1531.0,0.001289129
Knapsack,4613.0,0.001051188
Recursive Knapsack,4613.0,0.134608984
Dynamic,4624.0,0.001070738
Static,4545.0,0.001968384
Algorithm,1217.0,0.001001835
Recursive Knapsack,4642.0,0.024260998
Dynamic,3377.0,0.001987457
Static,6268.0,0.000999928
Algorithm,1026.0,0.001515865
Knapsack,4349.0,0.000997066
Recursive Knapsack,4349.0,0.19871974
Dynamic,3516.0,0.00341177
Static,6134.0,0.002982378
Algorithm,2050.0,0.002855301
Knapsack,5029.0,0.001270294
Recursive Knapsack,5029.0,0.009077311
Dynamic,5168.0,0.002501011
Static,4014.0,0.002147675
Algorithm,1223.0,0.001993895
Knapsack,4532.0,0.001017094
Recursive Knapsack,4532.0,0.010063648
Dynamic,3920.0,0.001004219
Static,5139.0,0.001494884
Algorithm,1476.0,0.001250267
Recursive Knapsack,4758.0,0.010924101
Dynamic,4424.0,0.00101757
Static,6092.0,0.001998425
Algorithm,1527.0,0.001009703
Knapsack,4799.0,0.002133608
Recursive Knapsack,4799.0,0.010817289
Dynamic,4641.0,0.002019644
Static,6175.0,0.001006126
Algorithm,1487.0,0.002063274
Knapsack,5051.0,0.00107789
Recursive Knapsack,5051.0,0.148164034
Dynamic,4467.0,0.001999617
Static,4830.0,0.00200057
Algorithm,1572.0,0.00298357
Knapsack,4908.0,0.001193047
Recursive Knapsack,4908.0,0.188785553
Dynamic,4563.0,0.002304554
Static,5122.0,0.002009392
Algorithm,1108.0,0.002988338
Knapsack,5020.0,0.001001358
Recursive Knapsack,5020.0,0.016689777
Dynamic,4239.0,0.002221823
Static,7109.0,0.001471758
Algorithm,1602.0,0.001405478
Recursive Knapsack,5346.0,0.289656878
Dynamic,4473.0,0.001999855
Static,6388.0,0.001000166
Algorithm,1602.0,0.0011296272277832
Knapsack,5346.0,0.0
Recursive Knapsack,5346.0,0.1842758655548095
Dynamic,4473.0,0.0009982585906982
Static,6388.0,0.0009999275207519
Algorithm,1602.0,0.001007080078125
Knapsack,5346.0,0.0010316371917724
Recursive Knapsack,5346.0,0.1792516708374023
Dynamic,4473.0,0.0010051727294921
Static,6388.0,0.0009999275207519
Algorithm,1602.0,0.0009982585906982
Knapsack,5346.0,0.0
Recursive Knapsack,5346.0,0.1815409660339355
Dynamic,4473.0,0.0
Static,6388.0,0.0015037059783935
Algorithm,1602.0,0.0012269020080566
Knapsack,5346.0,0.0
Recursive Knapsack,5346.0,0.1794214248657226
Dynamic,4473.0,0.0018622875213623
Static,6388.0,0.0010225772857666
Algorithm,1602.0,0.0020101070404052
Knapsack,5346.0,0.0
Recursive Knapsack,5346.0,0.1792750358581543
Dynamic,4473.0,0.0020046234130859
Static,6388.0,0.0010008811950683
Algorithm,1602.0,0.000988483428955
Knapsack,5346.0,0.0
Recursive Knapsack,5346.0,0.1812546253204345
Dynamic,4473.0,0.0010013580322265
Static,6388.0,0.0015029907226562
Algorithm,1602.0,0.0010514259338378
